id,comment,comment_ko
27931,Feminine and alluring,여성스럽고 매혹적인
27932,Good for winter,겨울에 좋습니다
27933,Great longevity,훌륭한 장수
27934,Not overly sweet,지나치게 달지 않음
27935,Unique and refined fragrance,독특하고 세련된 향
27936,Enveloping scent,감싸는 향기
27937,Vilhelm Parfumerie,빌헬름 향수
27938,Buy Vilhelm Parfumerie atLuckyScent,LuckyScent에서 Vilhelm Parfumerie 제품을 구매하세요.
27939,"Gently floral, gently fruit, gently woody and musky","은은한 꽃향, 은은한 과일향, 은은한 나무향과 머스크향이 어우러진 향입니다."
27940,Lean feminine,날씬하고 여성스러운
27941,Good for work,업무에 적합합니다
27942,Perfectly balanced,완벽한 균형
27943,Something very nostalgic about it,뭔가 굉장히 향수를 불러일으키는 느낌이 있어요.
27944,The drydown is musky and paper,잔향은 머스크 향과 종이 향이 납니다.
27945,Fragram Photos,프래그램 사진
27946,Perfume Pyramid,향수 피라미드
27947,Designer Oriflame,디자이너 오리플레임
27948,Love Potion,사랑의 묘약
27949,Love Potion Cherry on Top,사랑의 묘약 체리 토핑
27950,Oh! Sweet Dulce de Leche,오! 달콤한 둘세 데 레체
27951,Love Potion Secrets,사랑의 묘약 비밀
27952,Giordani Gold Essenza,지오르다니 골드 에센자
27953,Pleasant and non-overpowering,기분 좋고 부담스럽지 않은
27954,Calm woodsy base,고요한 숲속의 베이스
27955,Classy and expensive smell,고급스럽고 값비싼 향
27956,Suitable for warm weather,따뜻한 날씨에 적합합니다
27957,Cheerful and mood-lifting,쾌활하고 기분을 좋게 하는
27958,Fruity and sweet-spicy opening,과일향과 달콤매콤한 첫맛
27959,Soft jasmine projection,부드러운 자스민 향
27960,Refreshing for winter days,겨울날에 시원하게
27961,Calvin Klein,캘빈 클라인
27962,Zesty and fruity opening,상큼하고 과일향이 나는 오프닝
27963,Good summer fragrance,좋은 여름 향기
27964,Reminiscent of summer and citrus fruit,여름과 감귤류 과일을 떠올리게 합니다.
27965,Attractive packaging,매력적인 포장
27966,Unique and addictive scent,독특하고 중독성 있는 향
27967,Suitable for all occasions,모든 상황에 적합합니다
27968,Spicy fresh and creamy dry down,매콤하고 신선하며 크리미한 마무리
27969,Buy Mancera atLuckyScent,LuckyScent에서 Mancera를 구매하세요
27970,Fragram Photos,프래그램 사진
27971,Perfume Pyramid,향수 피라미드
27972,Designer Mancera,디자이너 만세라
27973,Amore Caff횄짢,아모레 카페
27974,Cedrat Boise,세드랫 보이시
27975,Instant Crush,인스턴트 크러쉬
27976,Red Tobacco,붉은 담배
27977,St횄짤phane Humbert Lucas 777,스테판 험버트 루카스 777
27978,Two kind of oud scent being in this masterpiece,이 명작에는 두 종류의 오우드 향이 담겨 있습니다.
27979,Translucent and sweet oud based scent,반투명하고 달콤한 오우드 향
27980,Quality and pleasing woody agarwood scent,고급스럽고 기분 좋은 나무향의 침향
27981,Impressive and black tie or special event worthy,인상적이고 정장 차림이나 특별 행사에 어울립니다.
27982,Good sillage,향의 확산력이 좋습니다.
27983,Opulent Middle Eastern opulence with modern masculinity,호화로운 중동풍과 현대적인 남성미의 조화
27984,Lovely Oriental warmth and sophistication,사랑스러운 동양의 따뜻함과 세련됨
27985,Yves Rocher,이브 로셰
27986,Fragram Photos,프래그램 사진
27987,Perfume Pyramid,향수 피라미드
27988,Designer Yves Rocher,디자이너 이브 로셰
27989,Cuir de Nuit,Cuir de Nuit
27990,Comme une Evidence,증거처럼
27991,Mono횄짱 Vague d?혲횄짤t횄짤,모노이 바그 데테
27992,Sur La Lande,쉬르 라 랑드
27993,O Botic횄징rio,오 보티카리오
27994,Fragram Photos,프래그램 사진
27995,Perfume Pyramid,향수 피라미드
27996,Designer O Botic횄징rio,디자이너 O Botic?rio
27997,The Blend Bourbon,블렌드 버번
27998,Floratta Red,플로라타 레드
27999,Quasar Brave,퀘이사 브레이브
28000,Zaad Expedition,자아드 탐험대
28001,Vintage style with real oakmoss depth,진짜 오크모스의 깊이감이 느껴지는 빈티지 스타일
28002,Suitable for a graceful and mature lady,우아하고 성숙한 여성에게 어울립니다.
28003,Gorgeously cold green floral chypre,매혹적인 차가운 녹색 꽃향기 시프레
28004,Unisex fragrance,남녀 공용 향수
28005,High quality gem,고품질 보석
28006,Unique and not following IFRA guidelines,독특하며 IFRA 지침을 따르지 않습니다.
28007,Good for colder seasons,추운 계절에 좋습니다
28008,Long-lasting strength,오래 지속되는 강도
28009,Juicy citrus opening,상큼한 시트러스 향으로 시작
28010,Unisex scent,남녀 공용 향
28011,Good projection and longevity,뛰어난 투영력과 지속성
28012,Quality and well-crafted ingredients,품질 좋고 정성껏 만든 재료
28013,Lemon verbena note is pleasant and unique,레몬 버베나 향은 기분 좋고 독특합니다.
28014,Mix of bitter herbs and leather is positive and bright,쓴맛이 나는 허브와 가죽의 조합은 긍정적이고 밝습니다.
28015,Semi-fresh scent is good for spring season,은은한 향은 봄에 잘 어울립니다.
28016,Compliment getter,칭찬을 받는 사람
28017,Roberto Cavalli,로베르토 카발리
28018,"Nice, sweet and creamy combination of roses and peaches",장미와 복숭아의 달콤하고 크리미한 조화가 훌륭합니다.
28019,Long lasting,오래 지속되는
28020,Wild and sexy scent,야성적이고 섹시한 향
28021,Playful and adventurous,장난기 많고 모험심 강한
28022,Sophisticated fruity-floral blend,세련된 과일향과 꽃향의 조화
28023,Delicate floral scent,은은한 꽃향기
28024,Perfect for spring and cool summer days,봄과 서늘한 여름날에 딱 좋습니다.
28025,Buy Rance 1795 atLuckyScent,LuckyScent에서 Rance 1795를 구매하세요
28026,Warm and cozy for autumn or winter,가을이나 겨울에 따뜻하고 아늑하게 즐기기 좋아요.
28027,Resinous and creamy vanilla scent,수지향과 크리미한 바닐라향
28028,Interesting smell experience,흥미로운 냄새 체험
28029,Perfect for amber lovers,호박색을 좋아하는 사람들에게 딱 맞는 제품입니다.
28030,Modern scent that could easily fit in with contemporary fragrances,현대적인 향수들과 잘 어울릴 만한 모던한 향입니다.
28031,"Beautiful combination of patchouli, labdanum, vanilla, and rose","파출리, 라다넘, 바닐라, 장미의 아름다운 조합"
28032,Unadulterated amber with a touch of citrus,순수한 호박색에 은은한 시트러스 향이 더해졌습니다.
28033,Fragram Photos,프래그램 사진
28034,Perfume Pyramid,향수 피라미드
28035,Designer Eudora,디자이너 유도라
28036,La Victorie Intense,라 빅토리 인텐스
28037,Eudora Ros횄짤,유도라 로제
28038,Eudora Eau de Parfum,유도라 오 드 퍼퓸
28039,Kiss Me Delicious,키스 미 딜리셔스
28040,Kiss Me More,키스 미 모어
28041,Fragram Photos,프래그램 사진
28042,Perfume Pyramid,향수 피라미드
28043,Designer La Rive,디자이너 라 리브
28044,Vanilla Touch,바닐라 터치
28045,Taste of Kiss,키스의 맛
28046,Elegant Woman,우아한 여성
28047,Fleur de Femme,플뢰르 드 팜므
28048,River of Love,사랑의 강
28049,Smells like a fresh cut flower shop or garden,갓 잘라낸 꽃집이나 정원처럼 향긋한 냄새가 나요.
28050,Interesting birch note,흥미로운 자작나무 향
28051,Subtle and elegant white floral scent,은은하고 우아한 화이트 플로럴 향
28052,Perfect daytime scent for businesswomen,비즈니스 여성에게 딱 맞는 낮 시간용 향수
28053,Feels like putting nose into a pleasant flower,향긋한 꽃향기에 코를 대는 듯한 느낌이 든다
28054,Less offensive than other white floral scents,다른 흰색 꽃향기보다 덜 자극적임
28055,Great for gardenia lovers,치자나무를 좋아하는 사람들에게 좋습니다
28056,Adorable and sweet fragrance,사랑스럽고 달콤한 향기
28057,Fragram Photos,프래그램 사진
28058,Perfume Pyramid,향수 피라미드
28059,Designer Jimmy Choo,디자이너 지미 추
28060,I Want Choo,나는 추를 원해
28061,I Want Choo Forever,나는 추를 영원히 원해
28062,I Want Choo Le Parfum,아이 원트 추 르 파르팜
28063,Jimmy Choo Man Ice,지미추 맨 아이스
28064,Jimmy Choo Fever,지미추 피버
28065,Buy Courr횄짢ges atLuckyScent,LuckyScent에서 Courr?ges를 구매하세요
28066,Sophisticated and enigmatic powdery iris,세련되고 신비로운 파우더리 아이리스
28067,Great price and performance,뛰어난 가격 대비 성능
28068,Warm and comforting without being sweet,달콤하지 않으면서 따뜻하고 편안한 느낌
28069,Perfect for office or formal occasions,사무실이나 공식적인 자리에 완벽하게 어울립니다.
28070,Clean and soapy notes,깨끗하고 비누 향이 나는 향
28071,Simple and sweet floral accord,심플하고 달콤한 꽃향기
28072,Ideal for colder seasons,추운 계절에 이상적입니다
28073,Fragram Photos,프래그램 사진
28074,Perfume Pyramid,향수 피라미드
28075,Designer Givenchy,디자이너 지방시
28076,Gentleman Eau de Parfum Reserve Priv횄짤e,젠틀맨 오 드 퍼퓸 리저브 프리베
28077,L'Interdit Eau de Parfum,랑테르디트 오 드 퍼퓸
28078,L'Interdit Eau de Parfum Rouge,랑테르디 오 드 퍼퓸 루즈
28079,Irresistible Givenchy,거부할 수 없는 지방시
28080,Gentleman Eau de Parfum,젠틀맨 오 드 퍼퓸
28081,Classically pretty scent,클래식하면서도 예쁜 향
28082,Great for hot days,더운 날에 딱 좋아요
28083,Brings back childhood memories,어린 시절 추억을 떠올리게 한다
28084,Perfect for work and everyday use,업무 및 일상생활에 적합합니다.
28085,Feminine and fruity without being overly sweet,여성스럽고 과일향이 나지만 지나치게 달지는 않습니다.
28086,Refreshing and delicate,상쾌하고 섬세한
28087,Sporty and youthful,스포티하고 젊은
28088,Warm and comforting drydown,따뜻하고 편안한 마무리
28089,James Heeley,제임스 힐리
28090,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
28091,Fragram Photos,프래그램 사진
28092,Perfume Pyramid,향수 피라미드
28093,Designer James Heeley,디자이너 제임스 힐리
28094,Menthe Fraiche,멘테 프레쉬
28095,Iris de Nuit,아이리스 드 누이트
28096,Note de Yuzu,노트 드 유즈
28097,CoSTUME NATIONAL,의상 국가
28098,"Dense, deep and spicy sensual scent",진하고 깊고 스파이시하면서도 관능적인 향
28099,Perfect for autumn and winter,가을과 겨울에 딱 좋아요
28100,Comparable to scents from high-end brands,고급 브랜드의 향과 견줄 만합니다.
28101,"Great performer, lasts long",성능이 뛰어나고 오래 지속됩니다.
28102,Makes you feel sophisticated and mature,세련되고 성숙한 느낌을 줍니다.
28103,Realistic and zingy cardamom notes,사실적이고 톡 쏘는 카다멈 향
28104,Spice bomb of epic proportions,엄청난 향신료 폭탄
28105,Salvatore Ferragamo,살바토레 페라가모
28106,Fragram Photos,프래그램 사진
28107,Perfume Pyramid,향수 피라미드
28108,Designer Salvatore Ferragamo,디자이너 살바토레 페라가모
28109,Uomo Salvatore Ferragamo Signature,우오모 살바토레 페라가모 시그니처
28110,Uomo Salvatore Ferragamo,우오모 살바토레 페라가모
28111,F by Ferragamo Black,F 바이 페라가모 블랙
28112,Signorina Misteriosa,시뇨리나 미스테리오사
28113,Fragram Photos,프래그램 사진
28114,Perfume Pyramid,향수 피라미드
28115,Designer Paul Smith,디자이너 폴 스미스
28116,Paul Smith Rose,폴 스미스 로즈
28117,Paul Smith Men,폴 스미스 남성
28118,Paul Smith Women,폴 스미스 여성
28119,Portrait For Men,남성을 위한 초상화
28120,Paul Smith Extreme Woman,폴 스미스 익스트림 우먼
28121,Beautiful art deco bottle,아름다운 아르데코풍 병
28122,Pleasant Bulgarian rose note,기분 좋은 불가리아산 장미 향
28123,Good choice for mainstream oud beginners,대중적인 우드 입문자에게 좋은 선택입니다.
28124,One of the best Avon fragrances,에이본 최고의 향수 중 하나
28125,Characteristic and unique scent,독특하고 개성적인 향
28126,Good longevity on clothes,옷의 내구성이 좋습니다.
28127,Long-lasting fragrance,오래 지속되는 향기
28128,Wearable and powerful scent,은은하면서도 강렬한 향
28129,Fragram Photos,프래그램 사진
28130,Perfume Pyramid,향수 피라미드
28131,Designer Mary Kay,디자이너 메리 케이
28132,Thinking of You,당신을 생각하며
28133,Bella Belara,벨라 벨라라
28134,If You Believe,당신이 믿는다면
28135,Lotus & Bamboo,연꽃과 대나무
28136,Modern Charm,모던한 매력
28137,Fragram Photos,프래그램 사진
28138,Perfume Pyramid,향수 피라미드
28139,Designer Jean Patou,디자이너 장 파투
28140,Sira des Indes,인도양
28141,Collection Heritage Vacances,컬렉션 헤리티지 바칸스
28142,Sublime Eau de Parfum,숭고한 오 드 퍼퓸
28143,Patou pour Homme,Patou pour Homme
28144,Collection Heritage Chald횄짤e,컬렉션 헤리티지 샬데
28145,Calming for bedtime and uplifting for daytime,"잠들기 전에는 마음을 편안하게 해주고, 낮에는 활력을 불어넣어 줍니다."
28146,Fresh inviting scent,신선하고 매력적인 향기
28147,Exotic element of lavender,라벤더의 이국적인 요소
28148,Relaxing and calming,편안하고 차분한
28149,Feminine yet masculine,여성스러우면서도 남성적인
28150,Unexpected scope of fragrance,예상치 못한 향기의 범위
28151,Gorgeous tonka bean and real oakmoss notes,풍부한 통카빈과 진짜 오크모스 향
28152,Reminiscent of countryside with a human touch,시골의 정취를 떠올리게 하면서도 인간미가 느껴지는 곳
28153,BDK Parfums,BDK 향수
28154,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
28155,Fragram Photos,프래그램 사진
28156,Perfume Pyramid,향수 피라미드
28157,Designer BDK Parfums,디자이너 BDK 향수
28158,Velvet Tonka,벨벳 통카
28159,Cr횄짢me de Cuir,크렘 드 퀴르
28160,Vanille Leather,바닐라 가죽
28161,Fresh and uplifting scent,상쾌하고 기분 좋은 향
28162,Luxurious and expensive smell,고급스럽고 값비싼 향기
28163,Sensual yet joyful,관능적이면서도 즐거운
28164,Pleasant and bearable orange blossom scent,기분 좋고 은은한 오렌지꽃 향
28165,Affordable price online,온라인에서 저렴한 가격으로 구매 가능
28166,Perfect summer fragrance,완벽한 여름 향기
28167,Gorgeous bottle design,아름다운 병 디자인
28168,Good sillage and longevity,확산력과 지속력이 좋습니다.
28169,Good for collectors and nostalgia,수집가와 향수를 가진 사람들에게 좋습니다
28170,Well-crafted composition with complex notes,복잡한 음표로 잘 구성된 작품
28171,Long-lasting and potent projection,오래 지속되고 강력한 발향력
28172,Highly seductive and attractive,매우 유혹적이고 매력적인
28173,Unique and distinct scent,독특하고 차별화된 향
28174,Suitable for any season or occasion,계절이나 상황에 관계없이 적합합니다.
28175,Suitable for both masculine and feminine tastes,남성과 여성 모두의 취향에 적합합니다.
28176,Great for filling bath water,욕조에 물을 채우기에 좋습니다.
28177,Acqua di Parma,아쿠아 디 파르마
28178,Fragram Photos,프래그램 사진
28179,Perfume Pyramid,향수 피라미드
28180,Designer Acqua di Parma,디자이너 아쿠아 디 파르마
28181,Acqua di Parma Blu Mediterraneo - Fico di Amalfi,아쿠아 디 파르마 블루 메디테라네오 - 피코 디 아말피
28182,Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia,아쿠아 디 파르마 블루 메디테라네오 - 만돌로 디 시실리아
28183,Essenza di Colonia,에센차 디 콜로니아
28184,Acqua di Parma Colonia,아쿠아 디 파르마 콜로니아
28185,Perris Monte Carlo,페리스 몬테카를로
28186,Fragram Photos,프래그램 사진
28187,Perfume Pyramid,향수 피라미드
28188,Designer Perris Monte Carlo,디자이너 페리스 몬테카를로
28189,Vanille de Tahiti,바닐라 드 타히티
28190,Ylang Ylang Nosy Be,일랑일랑 노지 비
28191,Arancia Di Sicilia,아란시아 디 시칠리아
28192,Cedro di Diamante,세드로 디 디아만테
28193,Ted Lapidus,테드 라피더스
28194,Long lasting,오래 지속되는
28195,Excellent silage,훌륭한 사일리지
28196,Well blended,잘 섞였다
28197,Masculine character,남성적인 특징
28198,Great value,훌륭한 가성비
28199,Nice warmth,기분 좋은 따뜻함
28200,Strong vanilla scent,진한 바닐라 향
28201,Yves Saint Laurent,이브 생 로랑
28202,Creamy and dreamy scent,부드럽고 몽환적인 향
28203,Opulent vanilla with tonka and sandalwood notes,통카빈과 샌달우드 향이 어우러진 풍부한 바닐라 향
28204,Yummy and compliment getter,맛있고 칭찬받기 좋은 음식
28205,Great for vanilla or tonka lovers,바닐라나 통카를 좋아하는 분들에게 딱 좋습니다.
28206,Good for those who prefer sweet scents,달콤한 향을 선호하는 분들에게 좋습니다.
28207,Perfect for dressed up glamorous nights,화려하게 차려입은 밤에 딱 어울립니다
28208,Luxurious and well-balanced scent,고급스럽고 균형 잡힌 향
28209,Giorgio Armani,조르지오 아르마니
28210,Ideal for cooler seasons,서늘한 계절에 이상적입니다
28211,Long-lasting scent,오래 지속되는 향기
28212,Good quality and satisfaction,좋은 품질과 만족
28213,Great for outdoor occasions,야외 활동에 안성맞춤입니다
28214,Unique and addictive vanilla scent,독특하고 중독성 있는 바닐라 향
28215,Nice use of floral notes,꽃향기를 잘 활용했네요.
28216,Attracts compliments,칭찬을 많이 받는다
28217,Lacoste Fragrances,라코스테 향수
28218,Fresh and sporty scent,산뜻하고 스포티한 향
28219,Sweet and sour candy notes,새콤달콤한 사탕 향
28220,Good sandalwood and musk base,샌달우드와 머스크 향이 은은하게 깔린 베이스
28221,Suitable for office or casual wear,사무실이나 캐주얼 복장에 적합합니다.
28222,Fruity and musky undertones,과일향과 머스크향이 은은하게 감돈다
28223,Good longevity,좋은 장수
28224,Inoffensive fragrance,무해한 향
28225,Fragram Photos,프래그램 사진
28226,Perfume Pyramid,향수 피라미드
28227,Designer Clean,디자이너 클린
28228,Clean Classic Warm Cotton,깨끗하고 클래식하며 따뜻한 면 소재
28229,Clean Warm Cotton,깨끗하고 따뜻한 면
28230,H2Eau Water Lotus,H2Eau 워터 로터스
28231,Apple Blossom,애플 블로섬
28232,H2Eau Nectarine Petal,H2Eau 넥타린 페탈
28233,Atelier des Ors,아틀리에 데 오르
28234,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
28235,Beautiful bottle design,아름다운 병 디자인
28236,Breezy and aquatic quality,산들바람이 불고 수생 생물이 서식하는 곳
28237,Refreshing and pretty feminine scent,상쾌하고 사랑스러운 여성스러운 향
28238,"Clean, watery and sweet smell",깨끗하고 물처럼 맑고 달콤한 향
28239,Nice mix of flowers with musk,꽃향기와 머스크향이 조화롭게 어우러진 향긋한 향입니다.
28240,Moderate sillage,적당한 확산력
28241,Eau D'Italie,오 디탈리에
28242,Buy Eau D'Italie atLuckyScent,LuckyScent에서 Eau D&#39;Italie를 구매하세요.
28243,"Mix of spices, woods, and sweets","향신료, 나무, 그리고 단맛이 어우러진 향"
28244,Multilayered spicy resinous treat,여러 겹으로 이루어진 매콤하고 수지 같은 간식
28245,Long-lasting with bits of sweet sillage all day long,오래 지속되며 하루 종일 은은하고 달콤한 잔향이 남습니다.
28246,"Sexy, exotic, ambery, warm oriental perfume","섹시하고 이국적이며, 앰버 향이 은은하게 감도는 따뜻한 오리엔탈 향수"
28247,"Cinnamon, cardamom, vanilla, cedar, and candied orange peel notes","계피, 카다멈, 바닐라, 시더, 설탕에 절인 오렌지 껍질 향"
28248,Sweet and slightly powdery musky scent,달콤하고 은은하게 파우더리한 머스크 향
28249,Van Cleef & Arpels,반 클리프 앤 아펠
28250,Buy Van Cleef & Arpels atLuckyScent,LuckyScent에서 Van Cleef &amp; Arpels 구매
28251,Beautiful and captivating scent,아름답고 매혹적인 향기
28252,Light but heavily creamy,가볍지만 진한 크림
28253,Classy aldehyde scent,고급스러운 알데히드 향
28254,"Bright, clean, and fresh in the aldehyde category",알데히드 계열에서 밝고 깨끗하며 산뜻한 제품입니다.
28255,Modern and classic at the same time,모던함과 클래식함이 동시에
28256,Surrounds you in a cloud of elegance,우아함의 구름으로 당신을 감싸줍니다
28257,Refreshing and clean scent,상쾌하고 깨끗한 향
28258,Smells like fresh laundry,갓 세탁한 옷 냄새가 나요
28259,Unisex fragrance,남녀 공용 향수
28260,Ideal for non-perfume days,향수를 뿌리지 않는 날에 이상적입니다.
28261,Great for those who like fresh aquatic scents,상쾌한 물 향을 좋아하는 분들에게 좋습니다.
28262,"No surprises, reliable scent","놀랄 만한 점 없이, 믿을 수 있는 향"
28263,Perfect for those who like soapy or minty scents,비누 향이나 민트 향을 좋아하는 분들에게 딱 좋습니다.
28264,Moderate longevity,적당한 장수
28265,Zoologist Perfumes,동물학자 향수
28266,Fragram Photos,프래그램 사진
28267,Perfume Pyramid,향수 피라미드
28268,Designer Zoologist Perfumes,디자이너 동물학자 향수
28269,Harvest Mouse,수확쥐
28270,Tyrannosaurus Rex,티라노사우루스 렉스
28271,Hummingbird,벌새
28272,Nightingale,나이팅게일
28273,Comforting and sweet scent,편안하고 달콤한 향기
28274,Ideal for beginners to iris fragrances,아이리스 향수를 처음 접하는 분들에게 이상적입니다.
28275,Feminine and snuggly,여성스럽고 포근한
28276,Powdery soft and light floral notes,파우더리하고 부드러우며 가벼운 꽃향기
28277,Suitable for summer and winter,여름과 겨울에 적합합니다
28278,A simple yet refined scent,심플하면서도 세련된 향
28279,Lasts long on the skin,피부에 오래 지속됩니다
28280,Perfect for weddings or special occasions,결혼식이나 특별한 행사에 안성맞춤입니다.
28281,Lacoste Fragrances,라코스테 향수
28282,Fragram Photos,프래그램 사진
28283,Perfume Pyramid,향수 피라미드
28284,Designer Lacoste Fragrances,디자이너 라코스테 향수
28285,Eau de Lacoste L.12.12. White,오 드 라코스트 L.12.12 화이트
28286,Lacoste Pour Femme,라코스테 푸르 팜므
28287,L.12.12 Eau de Parfum Blanc For Him,L.12.12 그를 위한 오 드 퍼퓸 블랑
28288,Eau de Lacoste L.12.12 Blanc Limited Edition,오드라코스테 L.12.12 블랑 리미티드 에디션
28289,Buy Xerjoff atLuckyScent,Xerjoff 제품을 LuckyScent에서 구매하세요.
28290,Unique and interesting scent,독특하고 흥미로운 향
28291,Spicy and alluring,매콤하고 매혹적인
28292,Seductive and sexy fragrance,유혹적이고 섹시한 향수
28293,Evokes ancient cultural vibes,고대 문화의 분위기를 불러일으킨다
28294,Excellent addition to Xerjoff's oud line,제르조프의 오우드 라인에 훌륭한 추가 제품입니다.
28295,Longevity of 12 hours,12시간 지속
28296,Extremely cloudy silage,매우 탁한 사일리지
28297,Clive Christian,클라이브 크리스천
28298,Buy Clive Christian atLuckyScent,LuckyScent에서 Clive Christian 제품을 구매하세요.
28299,Beautifully blended,아름답게 조화된
28300,Gorgeous scent,아름다운 향기
28301,Exclusive perfume,특별한 향수
28302,Smooth and slightly sweet,부드럽고 은은하게 달콤하다
28303,Quality fragrance,고급 향수
28304,Special place in the heart,마음속 특별한 자리
28305,Fragram Photos,프래그램 사진
28306,Perfume Pyramid,향수 피라미드
28307,Designer Diptyque,디자이너 딥티크
28308,L'Eau Papier,종이물
28309,Philosykos Eau de Parfum,필로시코스 오 드 퍼퓸
28310,Orph횄짤on Eau de Parfum,오르페옹 오 드 퍼퓸
28311,Fleur de Peau Eau de Parfum,플뢰르 드 포 오 드 퍼퓸
28312,Eau Duelle Eau de Toilette,오듀엘 오 드 뚜왈렛
28313,Fragram Photos,프래그램 사진
28314,Perfume Pyramid,향수 피라미드
28315,Designer Tocca,디자이너 토카
28316,Florence Hair Fragrance,플로렌스 헤어 향수
28317,Cleopatra Hair Fragrance,클레오파트라 헤어 향수
28318,long lasting,오래 지속되는
28319,more female,여성 비율이 더 높음
28320,PRICE VALUE,가격 가치
28321,Liz Claiborne,리즈 클레이본
28322,Fragram Photos,프래그램 사진
28323,Perfume Pyramid,향수 피라미드
28324,Designer Liz Claiborne,디자이너 리즈 클레이본
28325,Curve for Men,커브 포 맨
28326,Curve Crush,커브 크러시
28327,Mambo for Woman,여성을 위한 맘보
28328,Curve Crush for Men,커브 크러쉬 포 맨
28329,Fragram Photos,프래그램 사진
28330,Perfume Pyramid,향수 피라미드
28331,Designer Avon,디자이너 에이본
28332,Far Away Beyond The Moon,달 너머 저 멀리
28333,Far Away Beyond,저 멀리
28334,Today Tomorrow Always Everlasting,오늘 내일 언제나 영원히
28335,Incandessence,광채
28336,Far Away Rebel,멀리 떨어진 반역자
28337,Strong and long-lasting scent,강렬하고 오래 지속되는 향
28338,Enjoyable and fun scent,즐겁고 재미있는 향
28339,Bright and delicately sweet floral bouquet,밝고 섬세하며 달콤한 꽃다발
28340,Good sillage and projection,향의 확산력과 지속력이 좋습니다.
28341,Modern floral fragrance,모던 플로럴 향수
28342,Captures the essence of gardenia without relying too heavily on tuberose,치자나무 향에 지나치게 의존하지 않고 치자나무 향의 본질을 포착합니다.
28343,Peppery undertones add complexity to the fragrance,후추 향이 은은하게 더해져 향에 복합적인 풍미를 더합니다.
28344,"Suitable for both men and women, despite being marketed as a women's fragrance",여성용 향수로 출시되었지만 남녀 모두에게 적합합니다.
28345,Fragram Photos,프래그램 사진
28346,Perfume Pyramid,향수 피라미드
28347,Designer Police,디자이너 경찰
28348,Police Potion For Her,그녀를 위한 경찰 물약
28349,Police Potion Arsenic For Her,"경찰용 물약, 그녀를 위한 비소"
28350,Police Potion Love For Her,경찰 마법약 그녀를 위한 사랑
28351,Police Dark Women,경찰 흑인 여성
28352,Police Potion Absinthe For Him,경찰 포션 압생트 포 힘
28353,Sweet and playful scent,달콤하고 장난스러운 향
28354,Good longevity and sillage,지속력과 확산력이 우수함
28355,Affordable price,합리적인 가격
28356,Great addition to gourmand wardrobe,미식가들의 옷장에 훌륭한 아이템이 될 것입니다.
28357,Salty caramel note is fantastic,짭짤한 카라멜 향이 정말 환상적이에요.
28358,More wearable during the day,낮에 착용하기에 더 적합합니다.
28359,Oriental gourmand fragrance lovers will enjoy it,오리엔탈 구르망 향수를 좋아하는 분들이라면 분명 좋아하실 겁니다.
28360,Comparable to expensive perfumes,고가의 향수와 비견될 만하다
28361,Memorable and original,기억에 남고 독창적인
28362,Unique and mysterious scent,독특하고 신비로운 향
28363,Evokes memories of the past,과거의 추억을 떠올리게 한다
28364,Lasts a long time on skin and clothes,피부와 옷에 오래 지속됩니다
28365,Narcotic quality,마약성 품질
28366,Sweet and deep with vanilla notes,달콤하고 깊은 바닐라 향이 느껴집니다.
28367,Vintage vibe,빈티지 감성
28368,Sociable scent,사교적인 향기
28369,Mona di Orio,모나 디 오리오
28370,Buy Mona di Orio atLuckyScent,LuckyScent에서 Mona di Orio를 구매하세요.
28371,Complex composition with a variety of notes,다양한 음표로 이루어진 복잡한 구성
28372,Beautiful bloodred rose with a slight smokiness,은은한 스모키함이 감도는 아름다운 붉은 장미 향
28373,Unique and interesting fragrance,독특하고 흥미로운 향
28374,Evokes memories of Guerlain CHAMADE,겔랑 샤마드를 떠올리게 합니다
28375,"Dark midstage with leather, amber, and balsam","가죽, 호박, 발삼 향이 어우러진 어두운 중간 단계"
28376,Pleasant smelling fuzzy drydown,기분 좋은 향이 은은하게 남는 잔향
28377,Louis Vuitton,루이비통
28378,Intoxicating and gorgeous fragrance,황홀하고 매혹적인 향기
28379,Elegant fragrance,우아한 향기
28380,Delicious creamy yet fresh vanilla,부드럽고 크리미하면서도 신선한 바닐라
28381,Light and airy take on vanilla,가볍고 산뜻한 바닐라 향
28382,Unisex scent,남녀 공용 향
28383,Great departure from usual resinous and spiced vanillas,일반적인 수지향과 향신료향이 강한 바닐라에서 크게 벗어난 맛
28384,Fresh and sweet with citrus and floral notes,상큼하고 달콤하며 시트러스와 꽃 향이 어우러진 맛입니다.
28385,Clear notes of pear and guava,배와 구아바의 향이 뚜렷하게 느껴집니다.
28386,Ideal for spring and summer,봄과 여름에 이상적입니다.
28387,Long-lasting fragrance,오래 지속되는 향기
28388,Original and attractive bottle design,독창적이고 매력적인 병 디자인
28389,Sweet honey and orchid middle notes,달콤한 꿀과 난초 향이 미들노트를 이룹니다.
28390,Sparkly and champagne-like opening,반짝이고 샴페인처럼 화려한 오프닝
28391,Great for people under 25,25세 미만에게 아주 좋습니다
28392,Feminine and unisex scent,여성스럽고 남녀 공용으로 사용할 수 있는 향
28393,David Beckham,데이비드 베컴
